STATE/UT,Region,Oil_type,Year,Production
DADRA & NAGAR HAVELI AND DAMAN & DIU,REGION - WEST,HSD/Diesel,2011,133.25804
GOA,REGION - WEST,HSD/Diesel,2011,374.95192
GUJARAT,REGION - WEST,HSD/Diesel,2011,4044.93736
MADHYA PRADESH,REGION - WEST,HSD/Diesel,2011,2639.21633
MAHARASHTRA,REGION - WEST,HSD/Diesel,2011,7482.99137
ANDHRA PRADESH,REGION - SOUTH,HSD/Diesel,2011,6231.7979
KARNATAKA,REGION - SOUTH,HSD/Diesel,2011,3944.03576
KERALA,REGION - SOUTH,HSD/Diesel,2011,2104.76631
LAKSHADWEEP,REGION - SOUTH,HSD/Diesel,2011,12.49672
PUDUCHERRY,REGION - SOUTH,HSD/Diesel,2011,347.35827
TAMIL NADU,REGION - SOUTH,HSD/Diesel,2011,5988.34168
TELANGANA,REGION - SOUTH,HSD/Diesel,2011,0
CHANDIGARH,REGION - NORTH,MS/Petrol,2012,82.93121
DELHI,REGION - NORTH,MS/Petrol,2012,786.98829
HARYANA,REGION - NORTH,MS/Petrol,2012,625.85276
HIMACHAL PRADESH,REGION - NORTH,MS/Petrol,2012,114.45065
JAMMU & KASHMIR,REGION - NORTH,MS/Petrol,2012,145.25387
LADAKH,REGION - NORTH,MS/Petrol,2012,0
PUNJAB,REGION - NORTH,MS/Petrol,2012,578.37827
RAJASTHAN,REGION - NORTH,MS/Petrol,2012,787.18284
UTTAR PRADESH,REGION - NORTH,MS/Petrol,2012,1446.32408
UTTARAKHAND,REGION - NORTH,MS/Petrol,2012,175.9937
ARUNACHAL PRADESH,REGION - NORTH EAST,MS/Petrol,2012,22.72691
ASSAM,REGION - NORTH EAST,MS/Petrol,2012,167.72854
MANIPUR,REGION - NORTH EAST,MS/Petrol,2012,33.32497
MEGHALAYA,REGION - NORTH EAST,MS/Petrol,2012,56.35444
MIZORAM,REGION - NORTH EAST,MS/Petrol,2012,18.85792
NAGALAND,REGION - NORTH EAST,MS/Petrol,2012,23.03872
SIKKIM,REGION - NORTH EAST,MS/Petrol,2012,12.35882
TRIPURA,REGION - NORTH EAST,MS/Petrol,2012,28.87876
ANDAMAN & NICOBAR,REGION - EAST,MS/Petrol,2012,10.74302
BIHAR,REGION - EAST,MS/Petrol,2012,321.67885
JHARKHAND,REGION - EAST,MS/Petrol,2012,234.90423
ODISHA,REGION - EAST,MS/Petrol,2012,364.9882
WEST BENGAL,REGION - EAST,MS/Petrol,2012,442.611
CHHATTISGARH,REGION - WEST,MS/Petrol,2012,271.36774
DADRA & NAGAR HAVELI AND DAMAN & DIU,REGION - WEST,MS/Petrol,2012,27.64256
GOA,REGION - WEST,MS/Petrol,2012,117.49736
GUJARAT,REGION - WEST,MS/Petrol,2012,1107.80992
MADHYA PRADESH,REGION - WEST,MS/Petrol,2012,703.21523
MAHARASHTRA,REGION - WEST,MS/Petrol,2012,2161.86602
ANDHRA PRADESH,REGION - SOUTH,MS/Petrol,2012,1237.17989
KARNATAKA,REGION - SOUTH,MS/Petrol,2012,1127.16867
KERALA,REGION - SOUTH,MS/Petrol,2012,833.64262
LAKSHADWEEP,REGION - SOUTH,MS/Petrol,2012,0
PUDUCHERRY,REGION - SOUTH,MS/Petrol,2012,92.37782
TAMIL NADU,REGION - SOUTH,MS/Petrol,2012,1582.58316
TELANGANA,REGION - SOUTH,MS/Petrol,2012,0
CHANDIGARH,REGION - NORTH,HSD/Diesel,2012,75.42936
DELHI,REGION - NORTH,HSD/Diesel,2012,1028.76366
HARYANA,REGION - NORTH,HSD/Diesel,2012,5022.89211
HIMACHAL PRADESH,REGION - NORTH,HSD/Diesel,2012,532.7959
JAMMU & KASHMIR,REGION - NORTH,HSD/Diesel,2012,588.88535
LADAKH,REGION - NORTH,HSD/Diesel,2012,
PUNJAB,REGION - NORTH,HSD/Diesel,2012,3254.67822
RAJASTHAN,REGION - NORTH,HSD/Diesel,2012,4680.17411
UTTAR PRADESH,REGION - NORTH,HSD/Diesel,2012,6482.76081
UTTARAKHAND,REGION - NORTH,HSD/Diesel,2012,674.89091
ARUNACHAL PRADESH,REGION - NORTH EAST,HSD/Diesel,2012,91.61627
ASSAM,REGION - NORTH EAST,HSD/Diesel,2012,730.8061
MANIPUR,REGION - NORTH EAST,HSD/Diesel,2012,74.09245
MEGHALAYA,REGION - NORTH EAST,HSD/Diesel,2012,354.28471
MIZORAM,REGION - NORTH EAST,HSD/Diesel,2012,53.26446
NAGALAND,REGION - NORTH EAST,HSD/Diesel,2012,54.7736
SIKKIM,REGION - NORTH EAST,HSD/Diesel,2012,52.69437
TRIPURA,REGION - NORTH EAST,HSD/Diesel,2012,81.03777
ANDAMAN & NICOBAR,REGION - EAST,HSD/Diesel,2012,89.75512
BIHAR,REGION - EAST,HSD/Diesel,2012,2030.11388
JHARKHAND,REGION - EAST,HSD/Diesel,2012,1360.98257
ODISHA,REGION - EAST,HSD/Diesel,2012,1833.69885
WEST BENGAL,REGION - EAST,HSD/Diesel,2012,2732.52905
CHHATTISGARH,REGION - WEST,HSD/Diesel,2012,1154.01808
DADRA & NAGAR HAVELI AND DAMAN & DIU,REGION - WEST,HSD/Diesel,2012,153.75223
GOA,REGION - WEST,HSD/Diesel,2012,302.89857
GUJARAT,REGION - WEST,HSD/Diesel,2012,4355.63217
MADHYA PRADESH,REGION - WEST,HSD/Diesel,2012,2838.18303
MAHARASHTRA,REGION - WEST,HSD/Diesel,2012,7741.0464
ANDHRA PRADESH,REGION - SOUTH,HSD/Diesel,2012,6582.56011
KARNATAKA,REGION - SOUTH,HSD/Diesel,2012,4375.77127
KERALA,REGION - SOUTH,HSD/Diesel,2012,2339.20703
LAKSHADWEEP,REGION - SOUTH,HSD/Diesel,2012,11.64561
PUDUCHERRY,REGION - SOUTH,HSD/Diesel,2012,334.06398
TAMIL NADU,REGION - SOUTH,HSD/Diesel,2012,6963.68982
TELANGANA,REGION - SOUTH,HSD/Diesel,2012,0
CHANDIGARH,REGION - NORTH,MS/Petrol,2013,82.14714
DELHI,REGION - NORTH,MS/Petrol,2013,796.9915
HARYANA,REGION - NORTH,MS/Petrol,2013,664.36472
HIMACHAL PRADESH,REGION - NORTH,MS/Petrol,2013,123.99607
JAMMU & KASHMIR,REGION - NORTH,MS/Petrol,2013,157.24918
LADAKH,REGION - NORTH,MS/Petrol,2013,0
PUNJAB,REGION - NORTH,MS/Petrol,2013,608.6122
RAJASTHAN,REGION - NORTH,MS/Petrol,2013,898.06797
UTTAR PRADESH,REGION - NORTH,MS/Petrol,2013,1616.61
UTTARAKHAND,REGION - NORTH,MS/Petrol,2013,190.7629
ARUNACHAL PRADESH,REGION - NORTH EAST,MS/Petrol,2013,26.79075
ASSAM,REGION - NORTH EAST,MS/Petrol,2013,189.49986
MANIPUR,REGION - NORTH EAST,MS/Petrol,2013,36.52268
MEGHALAYA,REGION - NORTH EAST,MS/Petrol,2013,58.9631
MIZORAM,REGION - NORTH EAST,MS/Petrol,2013,21.50453
NAGALAND,REGION - NORTH EAST,MS/Petrol,2013,25.7194
SIKKIM,REGION - NORTH EAST,MS/Petrol,2013,13.22195
TRIPURA,REGION - NORTH EAST,MS/Petrol,2013,30.79807
ANDAMAN & NICOBAR,REGION - EAST,MS/Petrol,2013,11.51237
BIHAR,REGION - EAST,MS/Petrol,2013,375.14161
JHARKHAND,REGION - EAST,MS/Petrol,2013,265.53022
ODISHA,REGION - EAST,MS/Petrol,2013,412.66784
WEST BENGAL,REGION - EAST,MS/Petrol,2013,484.37023
CHHATTISGARH,REGION - WEST,MS/Petrol,2013,309.56889
DADRA & NAGAR HAVELI AND DAMAN & DIU,REGION - WEST,MS/Petrol,2013,28.28581
GOA,REGION - WEST,MS/Petrol,2013,127.37034
GUJARAT,REGION - WEST,MS/Petrol,2013,1205.1485
MADHYA PRADESH,REGION - WEST,MS/Petrol,2013,783.39168
MAHARASHTRA,REGION - WEST,MS/Petrol,2013,2271.65825
ANDHRA PRADESH,REGION - SOUTH,MS/Petrol,2013,1370.26359
KARNATAKA,REGION - SOUTH,MS/Petrol,2013,1247.25611
KERALA,REGION - SOUTH,MS/Petrol,2013,904.48657
LAKSHADWEEP,REGION - SOUTH,MS/Petrol,2013,0
PUDUCHERRY,REGION - SOUTH,MS/Petrol,2013,94.02829
TAMIL NADU,REGION - SOUTH,MS/Petrol,2013,1695.75359
